freq_hz,s0_db,s1_db,s2_db,s3_db,s4_db,s5_db,composite_db
# M0_Q0
134.43,-36.29,8.96,-4.34,-7.07,-3.97,42.87,12.20
136.25,-36.30,8.97,-4.34,-7.07,-3.97,42.87,12.21
138.09,-36.31,8.97,-4.34,-7.07,-3.97,42.88,12.21
139.95,-36.31,8.98,-4.34,-7.07,-3.97,42.88,12.22
141.84,-36.32,8.98,-4.34,-7.07,-3.97,42.89,12.22
143.76,-36.32,8.99,-4.34,-7.07,-3.97,42.90,12.23
145.70,-36.33,8.99,-4.34,-7.07,-3.97,42.90,12.23
147.67,-36.33,9.00,-4.34,-7.07,-3.97,42.91,12.24
149.66,-36.34,9.00,-4.34,-7.07,-3.97,42.92,12.24
151.69,-36.35,9.01,-4.34,-7.07,-3.97,42.92,12.25
153.73,-36.35,9.02,-4.34,-7.07,-3.97,42.93,12.26
155.81,-36.36,9.02,-4.34,-7.07,-3.97,42.94,12.26
157.92,-36.37,9.03,-4.34,-7.07,-3.97,42.94,12.27
160.05,-36.38,9.04,-4.34,-7.07,-3.97,42.95,12.28
162.21,-36.38,9.04,-4.34,-7.07,-3.97,42.96,12.28
164.40,-36.39,9.05,-4.34,-7.07,-3.97,42.97,12.29
166.62,-36.40,9.06,-4.34,-7.07,-3.97,42.98,12.30
168.87,-36.41,9.07,-4.34,-7.07,-3.97,42.98,12.31
171.16,-36.42,9.07,-4.34,-7.07,-3.97,42.99,12.31
173.47,-36.42,9.08,-4.34,-7.07,-3.97,43.00,12.32
175.81,-36.43,9.09,-4.34,-7.07,-3.97,43.01,12.33
178.19,-36.44,9.10,-4.34,-7.07,-3.97,43.02,12.34
180.59,-36.45,9.11,-4.34,-7.07,-3.97,43.03,12.35
183.03,-36.46,9.11,-4.34,-7.07,-3.97,43.04,12.36
185.50,-36.47,9.12,-4.34,-7.07,-3.97,43.05,12.37
188.01,-36.48,9.13,-4.34,-7.07,-3.97,43.06,12.38
190.55,-36.49,9.14,-4.34,-7.07,-3.97,43.07,12.39
193.12,-36.50,9.15,-4.34,-7.07,-3.97,43.08,12.40
195.73,-36.51,9.16,-4.34,-7.07,-3.97,43.09,12.41
198.38,-36.53,9.17,-4.34,-7.07,-3.97,43.11,12.42
201.06,-36.54,9.18,-4.34,-7.07,-3.97,43.12,12.43
203.77,-36.55,9.20,-4.34,-7.07,-3.97,43.13,12.44
206.52,-36.56,9.21,-4.34,-7.07,-3.97,43.14,12.45
209.31,-36.57,9.22,-4.34,-7.07,-3.97,43.16,12.46
212.14,-36.59,9.23,-4.34,-7.07,-3.97,43.17,12.47
215.01,-36.60,9.24,-4.34,-7.07,-3.97,43.18,12.49
217.91,-36.62,9.26,-4.34,-7.07,-3.97,43.20,12.50
220.86,-36.63,9.27,-4.34,-7.07,-3.97,43.21,12.51
223.84,-36.64,9.28,-4.34,-7.07,-3.97,43.23,12.53
226.86,-36.66,9.30,-4.34,-7.07,-3.97,43.24,12.54
229.93,-36.68,9.31,-4.34,-7.07,-3.97,43.26,12.56
233.03,-36.69,9.32,-4.34,-7.07,-3.97,43.28,12.57
236.18,-36.71,9.34,-4.34,-7.07,-3.97,43.29,12.59
239.37,-36.72,9.36,-4.34,-7.07,-3.97,43.31,12.60
242.60,-36.74,9.37,-4.34,-7.07,-3.97,43.33,12.62
245.88,-36.76,9.39,-4.34,-7.07,-3.97,43.35,12.63
249.20,-36.78,9.40,-4.34,-7.07,-3.97,43.37,12.65
252.57,-36.80,9.42,-4.34,-7.07,-3.97,43.39,12.67
255.98,-36.82,9.44,-4.34,-7.07,-3.97,43.41,12.69
259.44,-36.84,9.46,-4.34,-7.07,-3.97,43.43,12.71
262.94,-36.86,9.48,-4.34,-7.07,-3.97,43.45,12.73
