kind,rail_hz,band,total_hits,endpoint_hits,grid_hits,skin_count,variant_count,top_stages,top_states,nearest_table,nearest_table_label,nearest_table_target_hz,nearest_table_cents
pole,12.0,sub,19,13,19,5,7,S3:6;S2:4;S6:3;S5:2,GRID:6;AWAY:6;PUSH_HOME:3;PUSH_AWAY:3;HOME:1,,,,
pole,1020.0,mouth,83,12,83,36,54,S3:27;S1:16;S5:14;S6:10,GRID:70;PUSH_AWAY:5;AWAY:5;PUSH_HOME:2;CENTER:1,vowel,uu:f2,1020.0,0.0
pole,1060.0,mouth,82,12,82,33,57,S5:19;S3:19;S6:14;S4:11,GRID:70;HOME:7;PUSH_HOME:3;AWAY:2,mullen,u:f2,1067.0,11.4
pole,520.0,low-mid,67,12,67,31,50,S3:16;S5:15;S2:11;S4:10,GRID:55;PUSH_AWAY:5;AWAY:3;HOME:3;PUSH_HOME:1,tube,co_50cm:p2,515.0,16.73
pole,540.0,low-mid,59,12,59,31,44,S3:18;S6:11;S2:10;S4:9,GRID:46;AWAY:5;PUSH_HOME:3;PUSH_AWAY:2;HOME:2,klatt,o:f1,540.0,0.0
pole,535.0,low-mid,70,12,70,30,49,S6:24;S2:16;S3:11;S1:9,GRID:56;HOME:5;AWAY:3;CENTER:2;PUSH_AWAY:2,klatt,o:f1,540.0,16.1
pole,1000.0,mouth,50,12,50,25,33,S6:10;S4:10;S5:9;S2:9,GRID:35;PUSH_HOME:5;AWAY:3;CENTER:3;HOME:2,mullen,o:f2,990.0,17.4
zero,1140.0,mouth,53,12,53,25,33,S4:12;S3:11;S5:11;S2:8,GRID:41;AWAY:5;PUSH_HOME:4;PUSH_AWAY:2;HOME:1,klatt,o:f2,1100.0,61.84
zero,1620.0,bite,61,12,61,25,32,S2:17;S3:17;S5:11;S4:6,GRID:49;AWAY:4;PUSH_AWAY:4;HOME:3;PUSH_HOME:1,vowel,er:f3,1690.0,73.24
pole,1660.0,bite,48,12,48,22,32,S5:15;S3:10;S1:10;S2:6,GRID:34;AWAY:5;PUSH_AWAY:3;CENTER:2;HOME:2,vowel,er:f3,1690.0,31.01
pole,820.0,mouth,40,12,40,20,25,S2:11;S3:9;S1:7;S6:7,GRID:27;AWAY:4;HOME:3;PUSH_HOME:3;PUSH_AWAY:2,vowel,ao:f2,840.0,41.72
zero,2970.0,bite,48,12,48,20,27,S4:14;S5:12;S3:11;S1:4,GRID:34;AWAY:5;HOME:3;PUSH_HOME:3;CENTER:2,vowel,iy:f3,3010.0,23.16
zero,3100.0,bite,48,12,48,20,25,S4:20;S6:13;S3:7;S2:4,GRID:34;PUSH_HOME:4;PUSH_AWAY:3;AWAY:3;CENTER:2,tube,co_25cm:p5,3087.0,7.28
zero,5675.0,tear,32,12,32,19,23,S5:11;S6:10;S1:5;S4:4,GRID:19;PUSH_AWAY:8;PUSH_HOME:2;AWAY:2;CENTER:1,tube,oo_18cm:p6,5717.0,12.77
zero,2000.0,bite,41,12,41,18,28,S3:13;S2:13;S5:9;S4:3,GRID:29;PUSH_AWAY:8;PUSH_HOME:2;AWAY:1;HOME:1,vowel,ih:f2,1990.0,8.68
zero,2320.0,bite,26,12,26,17,17,S5:9;S1:9;S3:3;S2:3,GRID:14;HOME:6;AWAY:3;PUSH_AWAY:2;PUSH_HOME:1,klatt,o:f3,2300.0,14.99
zero,6150.0,tear,33,12,33,17,18,S3:16;S2:8;S6:5;S1:2,GRID:21;HOME:8;PUSH_HOME:4,,,,
zero,925.0,mouth,31,12,31,16,18,S3:18;S1:5;S2:5;S4:2,GRID:19;HOME:6;PUSH_HOME:4;AWAY:1;PUSH_AWAY:1,tube,oo_18cm:p1,953.0,51.63
zero,8025.0,air,22,12,22,16,17,S2:8;S5:5;S4:4;S1:2,GRID:10;PUSH_AWAY:7;AWAY:2;HOME:2;PUSH_HOME:1,,,,
zero,6600.0,tear,38,12,38,13,15,S4:17;S3:8;S5:6;S2:3,GRID:25;HOME:5;PUSH_HOME:4;PUSH_AWAY:2;AWAY:1,tube,oo_10cm:p4,6860.0,66.89
pole,370.0,low-mid,84,11,84,40,62,S3:23;S6:17;S2:15;S5:15,GRID:64;CENTER:9;PUSH_HOME:4;HOME:3;PUSH_AWAY:2,,,,
pole,1170.0,mouth,82,11,82,33,49,S2:21;S5:14;S4:14;S1:13,GRID:70;AWAY:5;PUSH_HOME:3;PUSH_AWAY:2;CENTER:1,vowel,uh:f2,1190.0,29.34
pole,490.0,low-mid,54,11,54,31,48,S3:14;S2:9;S5:8;S4:8,GRID:41;PUSH_AWAY:4;PUSH_HOME:4;HOME:3;CENTER:2,vowel,er:f1,490.0,0.0
pole,830.0,mouth,50,11,50,26,32,S5:15;S1:13;S3:8;S6:6,GRID:37;AWAY:4;PUSH_AWAY:3;HOME:2;PUSH_HOME:2,vowel,ao:f2,840.0,20.73
pole,1790.0,bite,50,11,50,26,37,S3:13;S5:10;S1:9;S2:8,GRID:39;AWAY:3;PUSH_AWAY:3;HOME:3;PUSH_HOME:2,vowel,eh:f2,1840.0,47.7
zero,515.0,low-mid,52,11,52,23,31,S2:16;S1:13;S5:7;S3:7,GRID:40;PUSH_HOME:4;AWAY:3;PUSH_AWAY:3;HOME:1,tube,co_50cm:p2,515.0,0.0
zero,1060.0,mouth,54,11,54,23,36,S2:14;S1:12;S4:10;S3:9,GRID:42;HOME:4;AWAY:3;PUSH_AWAY:2;PUSH_HOME:2,mullen,u:f2,1067.0,11.4
zero,520.0,low-mid,55,11,55,22,36,S3:14;S2:12;S1:9;S6:8,GRID:44;PUSH_HOME:5;HOME:3;AWAY:2;PUSH_AWAY:1,tube,co_50cm:p2,515.0,16.73
pole,590.0,low-mid,29,11,29,18,26,S2:8;S1:6;S5:5;S6:4,GRID:18;HOME:8;PUSH_AWAY:3,vowel,ao:f1,570.0,59.7
zero,565.0,low-mid,32,11,32,18,25,S2:12;S1:8;S3:5;S4:5,GRID:20;PUSH_HOME:7;AWAY:3;CENTER:1;HOME:1,vowel,ao:f1,570.0,15.25
pole,3320.0,bite,26,11,26,17,20,S5:8;S1:7;S3:4;S4:3,GRID:15;PUSH_AWAY:5;AWAY:3;PUSH_HOME:3,tube,co_18cm:p4,3334.0,7.29
zero,720.0,mouth,58,11,58,17,22,S1:27;S2:18;S4:5;S5:4,GRID:42;CENTER:5;AWAY:4;PUSH_HOME:3;PUSH_AWAY:2,vowel,aa:f1,730.0,23.88
zero,2650.0,bite,38,11,38,17,22,S3:13;S2:8;S6:7;S4:4,GRID:23;HOME:5;CENTER:4;AWAY:3;PUSH_HOME:2,klatt,a:f3,2600.0,32.98
zero,180.0,low,45,11,45,15,19,S1:28;S2:6;S5:3;S4:3,GRID:33;PUSH_HOME:3;AWAY:3;PUSH_AWAY:3;HOME:2,tube,co_50cm:p1,172.0,78.71
zero,1910.0,bite,57,11,57,15,17,S2:31;S5:13;S1:8;S6:3,GRID:45;AWAY:3;PUSH_AWAY:3;HOME:3;PUSH_HOME:2,tube,oo_18cm:p2,1906.0,3.63
zero,11350.0,air,19,11,19,13,13,S5:7;S1:5;S6:3;S2:3,GRID:8;PUSH_AWAY:7;PUSH_HOME:2;AWAY:2,,,,
zero,8725.0,air,22,11,22,12,13,S2:8;S4:5;S5:4;S6:3,GRID:11;PUSH_AWAY:8;AWAY:2;HOME:1,tube,oo_10cm:p5,8575.0,30.02
pole,530.0,low-mid,135,10,135,41,73,S2:31;S6:28;S3:24;S1:19,GRID:123;HOME:5;PUSH_HOME:3;AWAY:2;CENTER:2,vowel,eh:f1,530.0,0.0
pole,320.0,low-mid,64,10,64,36,55,S2:17;S5:12;S3:11;S4:11,GRID:39;CENTER:15;PUSH_HOME:4;HOME:4;AWAY:2,,,,
pole,275.0,low,69,10,69,35,53,S2:16;S6:13;S1:11;S3:11,GRID:54;CENTER:5;HOME:4;PUSH_HOME:4;AWAY:2,vowel,iy:f1,270.0,31.77
pole,265.0,low,93,10,93,34,68,S6:26;S2:22;S5:13;S4:12,GRID:74;CENTER:9;PUSH_HOME:4;HOME:4;PUSH_AWAY:1,vowel,iy:f1,270.0,32.36
pole,470.0,low-mid,70,10,70,33,54,S5:14;S6:13;S3:13;S1:11,GRID:58;AWAY:5;PUSH_AWAY:3;CENTER:2;PUSH_HOME:2,tube,co_18cm:p1,476.0,21.96
pole,1140.0,mouth,61,10,61,32,48,S5:21;S3:15;S4:10;S2:6,GRID:50;PUSH_AWAY:5;PUSH_HOME:3;CENTER:1;AWAY:1,klatt,o:f2,1100.0,61.84
pole,1100.0,mouth,61,10,61,31,49,S3:13;S1:11;S4:11;S5:10,GRID:49;AWAY:5;PUSH_HOME:3;PUSH_AWAY:2;CENTER:2,klatt,o:f2,1100.0,0.0
pole,1430.0,mouth,69,10,69,31,47,S3:14;S2:12;S5:12;S4:11,GRID:58;PUSH_HOME:3;PUSH_AWAY:3;HOME:2;AWAY:2,tube,co_18cm:p2,1429.0,1.21
pole,550.0,low-mid,55,10,55,30,42,S2:16;S3:10;S5:8;S6:8,GRID:43;HOME:4;PUSH_HOME:3;AWAY:2;CENTER:2,mullen,e:f1,542.0,25.37
zero,285.0,low,63,10,63,30,40,S3:17;S2:17;S1:11;S5:7,GRID:47;PUSH_HOME:6;CENTER:6;AWAY:4,,,,
pole,1080.0,mouth,66,10,66,29,44,S3:17;S4:15;S6:12;S5:10,GRID:55;PUSH_HOME:4;AWAY:3;PUSH_AWAY:2;HOME:1,vowel,aa:f2,1090.0,15.96
pole,1890.0,bite,44,10,44,29,37,S2:11;S3:10;S5:8;S4:7,GRID:32;AWAY:4;PUSH_AWAY:3;PUSH_HOME:3;CENTER:2,tube,co_50cm:p6,1887.0,2.75
