"# RAW ARMAdillo bytes, 4-byte stage blueprint. DECODE TO Hz/radius UNVERIFIED (golden test failed)."
cube,corner_id,routing0,routing1,stage,pole_k1,pole_k2,zero_k1,zero_k2
5,011,239,255,5,214,222,239,235
5,011,239,255,6,127,255,247,255
5,111,250,191,0,251,187,255,253
5,111,250,191,1,251,189,174,238
5,111,250,191,2,245,187,189,235
5,111,250,191,3,191,253,254,239
5,111,250,191,4,122,223,254,182
5,111,250,191,5,255,254,255,255
5,111,250,191,6,237,187,221,183
6,000,187,250,0,238,239,245,127
6,000,187,250,1,255,247,255,251
6,000,187,250,2,191,245,247,255
6,000,187,250,3,251,187,190,215
6,000,187,250,4,110,250,238,239
6,000,187,250,5,109,223,253,254
6,000,187,250,6,239,109,95,255
6,100,239,127,0,235,175,255,250
6,100,239,127,1,170,173,183,250
6,100,239,127,2,170,170,170,170
6,100,239,127,3,170,170,170,175
6,100,239,127,4,255,255,250,175
6,100,239,127,5,255,255,255,255
6,100,239,127,6,255,255,255,255
6,010,239,253,0,255,191,223,251
6,010,239,253,1,255,122,175,247
6,010,239,253,2,254,254,183,122
6,010,239,253,3,239,126,238,235
6,010,239,253,4,215,214,234,213
6,010,239,253,5,106,219,126,255
6,010,239,253,6,181,127,127,127
6,110,247,237,0,255,95,125,254
6,110,247,237,1,245,191,91,175
6,110,247,237,2,245,127,255,237
6,110,247,237,3,223,119,191,247
6,110,247,237,4,189,247,223,247
6,110,247,237,5,223,221,253,254
6,110,247,237,6,189,183,117,255
6,001,223,254,0,234,219,119,255
6,001,223,254,1,213,190,223,245
6,001,223,254,2,239,123,125,247
6,001,223,254,3,190,247,123,215
6,001,223,254,4,223,221,181,111
6,001,223,254,5,213,247,234,223
6,001,223,254,6,255,190,255,223
6,101,215,255,0,125,237,95,251
6,101,215,255,1,223,218,191,127
6,101,215,255,2,255,117,125,255
6,101,215,255,3,255,221,238,174
6,101,215,255,4,175,247,238,191
6,101,215,255,5,175,254,215,223
6,101,215,255,6,189,247,245,238
6,011,245,127,0,125,253,189,191
6,011,245,127,1,183,239,221,191
6,011,245,127,2,255,94,238,253
6,011,245,127,3,223,247,247,125
6,011,245,127,4,247,123,223,246
6,011,245,127,5,253,247,239,123
6,011,245,127,6,221,223,255,253
6,111,239,253,0,223,247,253,251
6,111,239,253,1,119,183,182,246
6,111,239,253,2,239,127,190,246
6,111,239,253,3,219,187,223,255
6,111,239,253,4,187,239,237,215
6,111,239,253,5,247,223,255,119
6,111,239,253,6,234,250,219,255
7,000,218,221,0,251,235,90,219
7,000,218,221,1,95,223,250,255
7,000,218,221,2,187,91,255,255
7,000,218,221,3,127,111,186,253
7,000,218,221,4,187,175,127,187
7,000,218,221,5,189,126,235,223
7,000,218,221,6,247,238,174,235
7,100,183,238,0,191,223,181,85
7,100,183,238,1,87,87,250,170
7,100,183,238,2,170,170,170,170
7,100,183,238,3,170,170,175,255
7,100,183,238,4,255,250,175,255
7,100,183,238,5,255,255,255,255
7,100,183,238,6,255,255,255,221
7,010,251,191,0,127,187,247,246
7,010,251,191,1,234,171,247,126
7,010,251,191,2,238,183,122,239
7,010,251,191,3,126,238,238,234
7,010,251,191,4,213,106,213,106
7,010,251,191,5,219,190,251,238
7,010,251,191,6,245,126,239,247
7,110,255,246,0,239,187,214,255
7,110,255,246,1,255,255,255,213
7,110,255,246,2,255,255,87,187
7,110,255,246,3,223,183,255,109
7,110,255,246,4,187,189,183,187
7,110,255,246,5,219,91,191,218
7,110,255,246,6,255,251,239,255
7,001,253,191,0,255,93,255,255
7,001,253,191,1,174,247,239,110
7,001,253,191,2,251,91,189,187
7,001,253,191,3,111,254,238,239
7,001,253,191,4,127,127,255,191
7,001,253,191,5,127,255,95,255
7,001,253,191,6,90,238,246,183
7,101,255,122,0,238,247,215,187
7,101,255,122,1,222,187,191,250
7,101,255,122,2,255,254,255,255
7,101,255,122,3,171,191,254,247
7,101,255,122,4,255,245,123,189
7,101,255,122,5,181,187,219,110
7,101,255,122,6,239,109,191,255
7,011,94,239,0,123,255,255,189
7,011,94,239,1,255,251,247,255
7,011,94,239,2,253,187,221,239
7,011,94,239,3,253,255,187,189
7,011,94,239,4,247,187,219,123
7,011,94,239,5,191,214,255,246
7,011,94,239,6,223,255,245,127
7,111,255,221,0,255,255,238,247
7,111,255,221,1,189,187,222,238
7,111,255,221,2,239,183,239,253
7,111,255,221,3,222,239,122,255
7,111,255,221,4,253,107,255,247
7,111,255,221,5,127,255,215,187
7,111,255,221,6,223,119,255,247
8,000,86,239,0,255,255,245,95
8,000,86,239,1,255,117,255,255
8,000,86,239,2,111,255,253,251
8,000,86,239,3,190,247,187,221
8,000,86,239,4,187,189,190,255
8,000,86,239,5,247,190,239,117
8,000,86,239,6,255,253,191,255
8,100,221,191,0,255,245,85,87
8,100,221,191,1,223,245,85,85
8,100,221,191,2,85,85,85,85
8,100,221,191,3,85,95,255,255
8,100,221,191,4,245,95,255,255
8,100,221,191,5,255,255,255,255
8,100,221,191,6,255,251,255,111
8,010,239,246,0,254,255,215,122
8,010,239,246,1,175,127,191,247
8,010,239,246,2,107,237,119,239
8,010,239,246,3,123,119,215,214
8,010,239,246,4,234,213,106,219
8,010,239,246,5,190,251,238,245
8,010,239,246,6,126,239,247,255
8,110,246,239,0,187,214,255,255
8,110,246,239,1,255,255,213,255
8,110,246,239,2,255,87,187,223
8,110,246,239,3,183,255,109,187
8,110,246,239,4,189,183,187,219
8,110,246,239,5,91,191,218,255
8,110,246,239,6,251,239,255,253
8,001,191,255,0,93,255,255,174
8,001,191,255,1,247,239,110,251
8,001,191,255,2,91,189,187,111
8,001,191,255,3,254,238,239,127
8,001,191,255,4,127,255,191,127
8,001,191,255,5,255,95,255,90
8,001,191,255,6,238,246,183,255
8,101,122,238,0,247,215,187,222
8,101,122,238,1,187,191,250,255
8,101,122,238,2,254,255,255,171
8,101,122,238,3,191,254,247,255
8,101,122,238,4,245,123,189,181
8,101,122,238,5,187,219,110,239
8,101,122,238,6,109,191,255,94
8,011,239,123,0,255,255,189,255
8,011,239,123,1,251,247,255,253
8,011,239,123,2,187,221,239,253
8,011,239,123,3,255,187,189,247
8,011,239,123,4,187,219,123,191
8,011,239,123,5,214,255,246,223
8,011,239,123,6,255,245,127,255
8,111,221,255,0,255,238,247,189
8,111,221,255,1,187,222,238,239
8,111,221,255,2,183,239,253,222
8,111,221,255,3,239,122,255,253
8,111,221,255,4,107,255,247,127
8,111,221,255,5,255,215,187,223
8,111,221,255,6,119,255,247,123
9,000,239,255,0,255,245,95,255
9,000,239,255,1,117,255,255,111
9,000,239,255,2,255,253,251,190
9,000,239,255,3,247,187,221,187
9,000,239,255,4,189,190,255,247
9,000,239,255,5,190,239,117,255
9,000,239,255,6,253,191,255,221
9,100,191,255,0,245,85,87,223
9,100,191,255,1,245,85,85,85
9,100,191,255,2,85,85,85,85
9,100,191,255,3,95,255,255,245
9,100,191,255,4,95,255,255,255
9,100,191,255,5,255,255,255,255
9,100,191,255,6,251,255,127,239
9,010,247,254,0,255,223,245,93
9,010,247,254,1,255,191,247,107
9,010,247,254,2,237,119,239,123
9,010,247,254,3,119,214,239,107
9,010,247,254,4,213,106,219,190
9,010,247,254,5,215,187,223,190
9,010,247,254,6,239,190,255,251
9,110,239,187,0,239,255,255,223
9,110,239,187,1,255,254,255,255
9,110,239,187,2,251,187,223,255
9,110,239,187,3,253,247,251,190
9,110,239,187,4,222,239,118,187
9,110,239,187,5,191,235,127,255
9,110,239,187,6,127,255,245,127
9,001,255,87,0,255,251,94,247
9,001,255,87,1,86,238,255,238
9,001,255,87,2,239,127,239,255
9,001,255,87,3,127,187,245,127
9,001,255,87,4,253,118,255,238
9,001,255,87,5,191,255,247,187
9,001,255,87,6,223,171,255,127
9,101,238,247,0,111,187,221,123
9,101,238,247,1,191,238,255,247
9,101,238,247,2,247,255,250,191
9,101,238,247,3,255,171,255,255
9,101,238,247,4,123,191,251,187
9,101,238,247,5,218,222,239,127
9,101,238,247,6,239,255,127,187
9,011,218,191,0,255,119,255,235
9,011,218,191,1,127,255,254,238
9,011,218,191,2,255,87,253,247
9,011,218,191,3,251,191,222,239
9,011,218,191,4,125,222,239,254
9,011,218,191,5,255,247,247,255
9,011,218,191,6,250,191,255,171
9,111,255,255,0,222,247,247,187
9,111,255,255,1,218,251,189,247
9,111,255,255,2,255,247,254,239
9,111,255,255,3,106,191,255,190
9,111,255,255,4,255,251,223,255
9,111,255,255,5,251,187,223,171
9,111,255,255,6,255,127,238,247
10,000,251,127,0,255,127,255,245
10,000,251,127,1,127,255,87,255
10,000,251,127,2,253,251,189,109
10,000,251,127,3,238,246,251,189
10,000,251,127,4,247,255,247,254
10,000,251,127,5,239,122,191,255
10,000,251,127,6,251,127,255,191
10,100,255,245,0,85,95,87,245
10,100,255,245,1,85,85,85,85
10,100,255,245,2,85,85,85,95
10,100,255,245,3,255,255,245,95
10,100,255,245,4,255,255,255,255
10,100,255,245,5,255,255,255,251
10,100,255,245,6,255,127,239,247
10,010,254,255,0,223,245,93,255
10,010,254,255,1,191,247,107,237
10,010,254,255,2,119,239,123,126
10,010,254,255,3,239,107,213,106
10,010,254,255,4,213,110,247,91
10,010,254,255,5,187,222,254,239
10,010,254,255,6,223,239,254,254
10,110,239,123,0,255,255,219,127
10,110,239,123,1,237,255,255,239
10,110,239,123,2,187,223,255,253
10,110,239,123,3,255,238,247,222
10,110,239,123,4,239,122,187,191
10,110,239,123,5,189,255,254,255
10,110,239,123,6,255,95,127,245
10,001,247,255,0,251,123,190,175
10,001,247,255,1,187,221,94,239
10,001,247,255,2,223,239,255,127
10,001,247,255,3,187,214,255,254
10,001,247,255,4,215,255,239,111
10,001,247,255,5,255,238,238,247
10,001,247,255,6,111,253,255,238
10,101,247,222,0,239,122,238,239
10,101,247,222,1,221,255,254,255
10,101,247,222,2,255,95,127,245
10,101,247,222,3,247,255,251,94
10,101,247,222,4,247,251,187,218
10,101,247,222,5,238,239,223,239
10,101,247,222,6,255,127,187,246
10,011,255,253,0,107,255,215,223
10,011,255,253,1,255,125,187,222
10,011,255,253,2,215,255,239,251
10,011,255,253,3,191,175,187,245
10,011,255,253,4,110,239,223,127
10,011,255,253,5,255,247,255,187
10,011,255,253,6,191,251,187,255
10,111,254,238,0,247,174,238,245
10,111,254,238,1,110,239,223,239
10,111,254,238,2,255,127,187,246
10,111,254,238,3,255,253,109,255
10,111,254,238,4,251,175,255,237
10,111,254,238,5,187,222,215,255
10,111,254,238,6,239,251,191,175
11,000,255,255,0,127,255,187,191
11,000,255,255,1,255,171,255,254
11,000,255,255,2,174,247,223,238
11,000,255,255,3,253,254,239,239
11,000,255,255,4,255,247,254,239
11,000,255,255,5,123,191,255,234
11,000,255,255,6,255,254,175,255
11,100,181,85,0,95,87,245,85
11,100,181,85,1,85,85,85,85
11,100,181,85,2,85,85,95,255
11,100,181,85,3,255,245,95,255
11,100,181,85,4,255,255,255,255
11,100,181,85,5,255,255,251,255
11,100,181,85,6,127,239,247,254
11,010,255,223,0,245,93,255,191
11,010,255,223,1,246,182,251,118
11,010,255,223,2,251,119,107,239
11,010,255,223,3,126,239,107,213
11,010,255,223,4,111,253,251,191
11,010,255,223,5,117,255,239,171
11,010,255,223,6,255,111,191,247
11,110,238,238,0,247,251,245,238
11,110,238,238,1,251,189,182,238
11,110,238,238,2,223,247,223,221
11,110,238,238,3,251,191,127,183
11,110,238,238,4,247,126,239,239
11,110,238,238,5,127,189,190,247
11,110,238,238,6,90,239,125,251
11,001,253,222,0,237,191,91,182
11,001,253,222,1,221,254,191,109
11,001,253,222,2,253,187,254,255
11,001,253,222,3,213,235,95,219
11,001,253,222,4,251,109,238,251
11,001,253,222,5,171,221,123,127
11,001,253,222,6,127,187,239,126
11,101,239,187,0,251,127,111,189
11,101,239,187,1,247,186,253,237
11,101,239,187,2,187,117,183,187
11,101,239,187,3,189,239,107,126
11,101,239,187,4,214,237,118,250
11,101,239,187,5,223,181,246,182
11,101,239,187,6,223,219,246,234
11,011,239,183,0,123,119,109,93
11,011,239,183,1,222,223,186,187
11,011,239,183,2,111,126,247,222
11,011,239,183,3,254,247,215,250
11,011,239,183,4,255,183,125,183
11,011,239,183,5,186,237,183,107
